lat,lng
34.1301075672801,-118.3269378549816
34.13002148502866,-118.32662587461364
34.129685763410336,-118.32623069948089
34.130116175500426,-118.32580432631134
34.13063266711566,-118.32558594005378
34.13094256056996,-118.32490998258986
34.130994209368566,-118.32410923297878
34.13046050359458,-118.32362046373568
34.13084787102391,-118.3227365193598
34.130116175500426,-118.32248693506541
34.12970014226341,-118.32268382468358
34.12933482132823,-118.32215251393178
34.129707235858156,-118.32183544138638
34.12994041269993,-118.32163721254817
34.1302969749415,-118.3214448375492
34.13038698072008,-118.32125246252718
34.13071584712343,-118.32117718535369
34.13084046984724,-118.3208384380729
34.131093176473165,-118.32066279133473
34.1310975431933,-118.32040590812169
34.13059921768573,-118.32034655422585
34.1305395588013,-118.32023208599813
34.13100630071442,-118.31979541090723
34.131294065120905,-118.31927818410057
34.13111859913595,-118.31908740372106
34.13018862333467,-118.31926546540859
34.130332507052195,-118.31856169778641
34.13093611412523,-118.31844298999471
34.13115369236209,-118.31829460525506
34.132308251401426,-118.31843451086537
34.13274340025102,-118.31805295010636
34.132725853969774,-118.3178748884188
34.13219595456043,-118.31731950553622
34.132255612275785,-118.31715840210464
34.13274340025102,-118.31707785038884
34.13332944397106,-118.31712872512345
34.133339971665066,-118.31696338212787
34.13297852008752,-118.31641223880928
34.13335400858833,-118.31602643848625
34.13387688232002,-118.3158950120026
34.134269912817416,-118.316001001056
34.13431202311695,-118.31574238765265
34.13395759410768,-118.31557280509308
34.13377862443923,-118.31518276520609
34.13344875778289,-118.31517428607812
34.13323118545386,-118.31503014090248
34.133266277802875,-118.314826641831
34.13402075978251,-118.31489023529085
34.13425938523925,-118.31512341131024
34.134806817564794,-118.31495806831465
34.13541390185472,-118.3156279194263
34.13558935892267,-118.31593740759752
34.13542793843357,-118.31734070327792
34.13569814212189,-118.31868040549851
34.13573323344428,-118.31914251806353
34.1354068835621,-118.31987596263366
34.13543846586385,-118.32045678290017
34.13506298662369,-118.32093585363094
34.134775235048885,-118.32248753405098
34.134606794648036,-118.32252569012688
34.13444888146737,-118.32182192250468
34.13456819367556,-118.32152091346143
34.13464858829605,-118.32089056508518
